TimeStamp,cmd,ad,r,xc,snr,dbv,TimeStamp,tat,twt
2024-09-12 02:20:26,VS,2601,3.298089,87.0,21.0,0.0,2024-09-12 02:20:26,200,3.098089
2024-09-12 02:36:42,CS,2601,3.208215,81.0,24.0,0.0,2024-09-12 02:36:42,200,3.008215
2024-09-12 02:44:30,CS,2601,3.203907,90.0,24.0,0.0,2024-09-12 02:44:30,200,3.003907
2024-09-12 03:02:26,VS,2602,4.054514,59.0,9.0,-12.0,2024-09-12 03:02:26,320,3.7345140000000003
2024-09-12 03:20:09,CS,2602,3.7016259999999996,79.0,16.0,-7.0,2024-09-12 03:20:09,320,3.381626
2024-09-12 04:02:49,VS,2603,4.174841,52.0,7.0,-15.0,2024-09-12 04:02:49,440,3.734841
2024-09-12 04:12:19,CS,2603,3.833995,54.0,11.0,-13.0,2024-09-12 04:12:19,440,3.393995
2024-09-12 23:16:55,CS,2604,4.295838,68.0,5.0,-15.0,2024-09-12 23:16:55,120,4.175838
2024-09-12 23:19:21,VS,2604,4.293101,74.0,12.0,-7.0,2024-09-12 23:19:21,120,4.173101
2024-09-12 23:25:36,FS,2604,4.236173,73.0,14.0,-5.0,2024-09-12 23:25:36,120,4.116173
2024-09-12 23:41:41,CS,2601,4.874721,47.0,3.0,-16.0,2024-09-12 23:41:41,200,4.674721
2024-09-12 23:43:11,VS,2601,4.825276,62.0,5.0,-14.0,2024-09-12 23:43:11,200,4.6252759999999995
2024-09-12 23:50:09,FS,2601,4.510617,75.0,9.0,-11.0,2024-09-12 23:50:09,200,4.310617
2024-09-12 23:55:17,SENS,2601,1e-06,71.0,9.0,-9.0,2024-09-12 23:55:17,200,-0.199999
2024-09-12 23:55:34,SENS,2604,1e-06,62.0,9.0,-11.0,2024-09-12 23:55:34,120,-0.119999
2024-09-13 00:56:10,CS,2602,1.8468369999999998,69.0,7.0,-13.0,2024-09-13 00:56:10,320,1.5268369999999998
2024-09-13 00:58:02,VS,2602,4.634679,66.0,7.0,-12.0,2024-09-13 00:58:02,320,4.314679
2024-09-13 00:58:13,FS,2602,4.599399,70.0,7.0,-13.0,2024-09-13 00:58:13,320,4.279399
2024-09-13 00:58:26,SENS,2602,1e-06,70.0,8.0,-12.0,2024-09-13 00:58:26,320,-0.31999900000000003
2024-09-13 01:29:19,CS,2603,2.05896,56.0,7.0,-15.0,2024-09-13 01:29:19,440,1.61896
2024-09-13 01:39:25,VS,2603,4.468758,69.0,11.0,-10.0,2024-09-13 01:39:25,440,4.028758
2024-09-13 01:39:33,FS,2603,4.311546,69.0,14.0,-7.0,2024-09-13 01:39:33,440,3.871546
2024-09-13 01:39:44,SENS,2603,1e-06,75.0,12.0,-10.0,2024-09-13 01:39:44,440,-0.43999900000000003
2024-09-13 01:50:25,FS,2603,4.039295,85.0,20.0,-2.0,2024-09-13 01:50:25,440,3.599295
2024-09-13 05:35:23,ALS,2601,4.006082999999999,87.0,22.0,-1.0,2024-09-13 05:35:23,200,3.806082999999999
2024-09-13 10:26:14,ALS,2602,3.9870889999999997,80.0,23.0,0.0,2024-09-13 10:26:14,320,3.667089
2024-09-13 14:41:14,ALS,2603,3.993296,78.0,22.0,-1.0,2024-09-13 14:41:14,440,3.553296
